Timestamp;Tahukah anda bahwa rel kereta api di buat renggang pada sambungannya? Mengapa?;Kupu-kupu dapat melakukan metamorfosis. Apa itu metamorfosis?;Mengapa bisa terjadi siang dan malam?;Kapur barus pada lemari semakin lama akan habis karena menyublim. Jelaskan apa itu menyublim?;Kayu yang berada dalam air akan mengambang. Mengapa begitu?;;;
1/15/2021 17.26.30;Agar pada saat memuai rel menjadi tidak bergelombang;Proses perubahan bentuk dari ulat menjadi kepompong lalu menjadi kupu-kupu;Karena bumi berputar ;Proses dari benda padat menjadi uap ;Karena di massa kayu lebih ringan dibandingkan air;;;
1/15/2021 17.30.08;Karena terjadi pemuaian pada siang hari, jika pemuaian terjadi maka masih ada tempat. Sehingga rel tidak bengkok.;Perubahan penampilan ;Karena adanya rotasi bumi;Perubahan wujud dari padat menjadi gas;Karena massa jenis kayu lebih kecil daripada air;;;
1/15/2021 17.35.46;karena saat panas rel kereta memuai;perkembangan biologi pada hewan;karena bumi berotasi ;benda padat menjadi uap;karena massa kayu lebih ringan dari air;;;
1/15/2021 17.45.48;agar bisa memuai saat musim panas;perubahan dari telur sampai kupu-kupu;perubahan dari telur sampai kupu-kupu;perubahan dari padat ke gas;karena volume kayu lebih ringan daripada air;;;
1/15/2021 17.48.50;Karena mencegah pemuaian saat siang hari dan mencegah penyusutan saat malam hari;Suatu proses perkembangan pada pertumbuhan sel;Karena matahari dan bumi melakukan rotasi maka terjadilah siang dan malam;Perubahan wujud padat ke wujud gas;Karena massa jenis kayu kecil;;;
1/15/2021 17.50.38;Agar saat terjadi pemuaian rel tidak bengkok;Perubahan bentuk fisik;Karena adanya rotasi bumi;Perubahan dari zat padat menjadi gas;Massa jenisnya kecil;;;
1/15/2021 17.57.19;Agar tidak patah ketika memuai;Proses perubahan bentuk pada hewan yang melibatkan perubahan fisik;Karena bumi mengelilingi matahari dan bumi berputar pada porosnya (karena bumi melakukan revolusi & rotasi);Perubahan wujud dari padat menjadi gas;Karena massa jenis kayu lebih ringan dibanding massa jenis air;;;
1/15/2021 18.13.25;untuk mengantisipasi terjadinya pemuaian di siang hari;Perkembangan biologi pada hewan;Adanya rotasi bumi;perubahan wujud benda dari gas menjadi benda cair;Massa jenis kayu lebih kecil daripada air;;;
1/15/2021 18.58.33;karena rel kereta mengalami pemuaian yang bisa bikin rel melengkung dan membahayakan perjalanan kereta;Perubahan dari telur, ulat, kepompong, kupu-kupu, kasian deh lu *sambil nyanyi. Intinya suatu perubahan dari mahluk hidup untuk lebih sempurna;Karena bumi berputar pada porosnya, mengelilingi matahari/sebaliknya;Proses penguapan pada benda padat yang menjadi uap?;Karena kayu memiliki ruang udara dan tidak bisa tenggelam;;;
1/15/2021 18.59.45;untuk mengantisipasi jika rel memuai pada siang hari;Perubahan penampilan/bentuk/struktur biologis dalam masa perkembangan hewan ;Karna adanya rotasi bumi;Perubahan benda padat menjadi gas;massa jenis air lebih besar dari massa jenis kayu;;;
1/15/2021 19.05.47;Agar kereta bisa lewat;Perubahan atau berkembang;Adanya rotasi bumi;Peleburan;Berbeda massa jenis;;;
1/15/2021 19.08.45;Karena besi memuai;Siklus hidup;Karena bumi berotasi;Zat padat berubah menjadi gas;Karena beratnya lebih ringan;;;
1/15/2021 19.10.44;karena saat panas siang hari besi pada rel akan memuai. ruang yang renggang diperlukan saat besi tersebut memuai;siklus hidup yang ditandai dengan perubahan bentuk yang berbeda;karena bumi berotasi;perubahan benda padat menjadi gas;karena massa kayu lebih ringan daripada air;;;
1/15/2021 19.22.49;Karena pada siang hari sinar matahari menyebabkan besi rel kereta memuai  menyebabkan rel bengkok.;Suatu proses perkembangan biologi pada hewan yang melibatkan perubahan penampilan fisik dan/atau struktur setelah kelahiran atau penetasan. ;Rotasi bumi adalah bumi berputar pada porosnya selama kurag lebih 24 jam. Rotasi bumi berakibat, sebagian bumi yang terkena sinar matahari, disebut siang, dan sebagian tidak terkena sinar matahari, disebut malam.;Perubahan wujud dari padat menjadi gas.;semakin kecil massa jenisnya dibandingkan dengan air, benda itu akan mengapung diatasnya. ;;;
1/15/2021 19.31.54;Karena supaya tidak ada tabrakan;Perubahan;Karena bumi mengelilingi matahari ;  suatu keadaan yang tidak ada oksigen yang lama kelamaan akan habis;Karena ada tekanan di dalam udara;;;
1/15/2021 19.33.35;Karena akan memuai pada siang hari;perkembangan bentuk hewan;Karena adanya rotasi bumi;perubahan dari benda padat menjadi gas;karena massa jenis kayu kecil;;;
1/15/2021 19.33.45;karena jika tidak dibuat renggang akan mengakibatkan tidak adanya ruang untuk pemuaian;-;karena bumi berotasi;perubahan benda padat menjadi gas;massa jenis kayu lebih ringan daripada massa jenis air;;;
1/15/2021 19.34.35;Menghindari pemuaian pada siang hari.;Perubahan pada hewan untuk mencapai kedewasaan;Adanya rotasi bumi.;Perubahan dari zat padat ke gas.;Karena kayu memiliki serat.;;;
1/15/2021 19.36.10;mengantisipasi pemuaian pada rel kereta api ;perubahan wujud hidup suatu mahluk hidup dari telur, ulat, pupa, hingga kupu-kupu dewasa;karena bumi berotasi (berputar pada porosnya), sehingga seolah matahari berpindah dari timur ke barat;kondisi di mana zat benda padat berubah menjadi gas;karena massa jenis kayu tidak lebih berat dibanding tegangan permukaan air;;;
