Timestamp,Tahukah anda bahwa rel kereta api di buat renggang pada sambungannya? Mengapa?,Kupu-kupu dapat melakukan metamorfosis. Apa itu metamorfosis?,Apakah kemampuan pertahanan diri pada binatang bunglon?,Mengapa bisa terjadi siang dan malam?,Kapur barus pada lemari semakin lama akan habis karena menyublim. Jelaskan apa itu menyublim?,Apa itu pertumbuhan dan perkembangan pada mahkluk hidup?,Kayu yang berada dalam air akan mengambang. Mengapa begitu?,Mengapa bola yang dilempar ke atas akan selalu jatuh ke bawah?
15/01/2021 17:26:30,Agar pada saat memuai rel menjadi tidak bergelombang,Proses perubahan bentuk dari ulat menjadi kepompong lalu menjadi kupu-kupu,Merubah warna kulit nya seperti apa yang dihingapi ,Karena bumu berputar ,Proses dari benda padat menjadi uap ,Proses berkembangbiak,Karena di masa kayu lebih ringan dibandingkan air,Karena terdapat gaya gravitasi bumi sehingga bola yang di lemparkan ke atas akan kembali lagi ke bumi
15/01/2021 17:30:08,"Karena terjadi pemuaian pada siang hari, jika pemuaian terjadi maka masih ada tempat. Sehingga rel tidak bengkok.",Perubahan penampilan ,Merubah warna kulitnya,Karena adanya rotasi bumi,Perubahan wujud dari padat menjadi gas,"Pertumbuhan merupakan proses bertambahnya ukuran.
Perkembangan merupakan proses menuju kedewasaan.",Karena massa jenis kayu lebih kecil daripada air,Karena adanya gaya gravitasi
15/01/2021 17:35:46,karena saat panas rel kereta memuai,perkembangan biologi pada hewan,merubah warna,karena bumi berotasi ,benda padat menjadi uap,"pertumbuhan adalah pertambahan ukuran, perkembangan adalah perbedaan bentuk tubuh",karena masa kayu lebih ringan dari air,karena adanya gravitasi
15/01/2021 17:45:48,agar bisa memuai saat musim panas,perubahan dari telur sampai kupu2,kamuflase berubah warna,karena ada rotasi bumi terhadap matahari,perubahan dari padat ke gas,perubahan bentuk sel dan pertambahan jumlah sel,karena volume kayu lebih ringan dairpada air,karena ada gravitasi
15/01/2021 17:48:50,Karena mencegah pemuaian saat siang hari dan mencegah penyusutan saat malam hari,Suatu proses perkembangan pada pertumbuhan sel,Berubah warna ,Karena matahari dan bumi melakukan rotasi maka terjadilah siang dan malam,Perubahan wujud padat ke wujud gas,"Pertumbuhan : mengacu pada pertumbuhan fisik (pada manusia) seperti nambah nya tinggi badan dan berat badan
Perkembangan : mengacu pada proses menuju kedewasaan",Karena massa jenis kayu kecil,Karena ada gravitasi
15/01/2021 17:50:38,Agar saat terjadi pemuaian rel tidak bengkok,Perubahan bentuk fisik,Menyesuaikan warna sesuai lingkungannya ,Karena adanya rotasi bumi,Perubahan dari zat padat menjadi gas,"Perkembangan adalah perubahan yang berhubungan dengan keadaan fisik.
Sedangkan perkembangan ialah perubahan yang berhubungan dengan mental atau menuju kedewasaan. ",Massa jenisnya kecil,Karena adanya gaya gravitasi
15/01/2021 17:57:19,Agar tidak patah ketika memuai,Proses perubahan bentuk pada hewan yang melibatkan perubahan fisik,Mengubah warna kulit,Karena bumi mengelilingi matahari dan bumi berputar pada porosnya (karena bumi melakukan revolusi & rotasi),Perubahan wujud dari padat menjadi gas,"Pertumbuhan merupakan sesuatu yang dapat diukur secara fisik seperti tinggi badan, berat badan. Sedangkan perkembangan merupakan proses pendewasaan",Karena massa jenis kayu lebih ringan dibanding massa jenis ajr,Karena adanya gaya gravitasi bumi
15/01/2021 18:13:25,untuk mengantisipasi terjadinya pemuaian di siang hari,Perkembangan biologi pada hewan,Berubah warna kulit,Adanya rotasi bumi,perubahan wujud benda dari gas menjadi benda cair,perubahan susunan dan fungsi organ-organ tubuh,Massa jenis kayu lebih kecil drpd air,Gravitasi
15/01/2021 18:58:33,"Tahu, karena rel kereta mengalami pemuaian yg bisa bikin rel melengkung dan membahayakan perjalanan keretanya sepertinya","Perubahan dari telur, ulat, kepompong, kupu-kupu, kasian deh lu *sambil nyanyi. Intinya suatu perubahan dari mahluk hidup untuk lebih sempurna",Merubah warna tubuh sesuai lingkungannya saat itu,"Karena bumi berputar pada porosnya, mengelilingi matahari/sebaliknya",Proses penguapan pada benda padat yang menjadi uap?,"Pertumbuhan yaitu sesuatu yg fisiknya terlihat berubah seperti tinggi/berat badan, berkembang yaitu sesuatu yg tidak dapat dilihat tp dirasakan seperti perubahan pola fikir/perubahan fungsi dari organ tertentu","Karenaaaa kayu memiliki ruang udara dan tidak bisa tenggelam dilautan yang dalam, kayak aku mengapung gatau bingung mau kemana",Karena pengaruh dari gravitasi bumi
15/01/2021 18:59:45,"Tahu, untuk mengantisipasi jika rel memuai pada siang hari",Perubahan penampilan/bentuk/struktur biologis dalam masa perkembangan hewan ,Mimikri (merubah warna kulit sesuai medan dimana ia melekat),Karna adanya rotasi bumi (bumi berputar pada porosnya dan mengelilingi matahari) sehingga ada belahan bumi yang tidak menerima sinar matahari (malam) saat belahan yang berlawanan lainnya menerima sinar matahari (siang),Perubahan benda padat menjadi gas,"Pertumbuhan adalah proses yang dinilai dari pertambahan ukuran seperti tinggi,lebar,volume, berat. Sedangkan perkembangan proses pendewasaan (sifat)",Masa jenis air lebih besar dari masa jenis kayu,Karna adanya gravitasi bumi
